n_policy,pack_PPO_BipedalWalker1_relative_perc_criteria_best,pack_PPO_BipedalWalker2_relative_perc_criteria_best,pack_PPO_BipedalWalker3_relative_perc_criteria_best,pack_PPO_BipedalWalker4_relative_perc_criteria_best,pack_PPO_BipedalWalker5_relative_perc_criteria_best,pack_PPO_BipedalWalker6_relative_perc_criteria_best,pack_PPO_BipedalWalker7_relative_perc_criteria_best,pack_PPO_BipedalWalker8_relative_perc_criteria_best,pack_PPO_BipedalWalker9_relative_perc_criteria_best,pack_PPO_BipedalWalker10_relative_perc_criteria_best,pack_PPO_BipedalWalker11_relative_perc_criteria_best,pack_PPO_BipedalWalker12_relative_perc_criteria_best,pack_PPO_BipedalWalker13_relative_perc_criteria_best,pack_PPO_BipedalWalker14_relative_perc_criteria_best,pack_PPO_BipedalWalker15_relative_perc_criteria_best,pack_PPO_BipedalWalker16_relative_perc_criteria_best,pack_PPO_BipedalWalker18_relative_perc_criteria_best,pack_PPO_BipedalWalker19_relative_perc_criteria_best,pack_PPO_BipedalWalker20_relative_perc_criteria_best,pack_PPO_BipedalWalker23_relative_perc_criteria_best
56,1.0,0.6030340424403731,0.938091371757222,0.5730033459843551,0.7933151592830231,0.7763721515200459,0.9978792145125276,0.9848164818921938,0.9934197510035356,1.0,0.9384973390917852,0.9891993034284724,0.9849302008451114,1.0,0.946430991252009,0.9806380444544296,1.0,0.7821338905209997,0.6326176539921466,1.0
57,1.0,0.7066201888944624,0.9378390422377751,0.6044721443879639,0.9448185108117326,0.6434831815357682,0.9991598687244728,0.9856613949181536,1.0,0.99658628356719,0.9399761048160966,0.9753553409622542,0.9634744037538006,1.0,0.8309276026116958,0.9776584305496704,0.9906205690138952,1.0,0.6810552051375652,0.9759293623820422
58,0.862930057429919,0.6286839255443015,0.971668882558278,0.5499709668204117,0.7833842842119312,0.8238388103997922,0.9990285234661622,0.3207717604148538,0.994097599826703,0.9961943232828202,0.9310989927737424,0.9983101023715396,0.9673791161234968,1.0,0.9364016481406964,0.9965114823058484,0.830476120170963,0.9651436249415528,0.7218057473933891,0.9998837408810002
59,0.6411439802244223,0.573639441642925,1.0,0.6088838376021118,0.8334364228907781,0.8678760879730975,0.9914111630649588,0.9881361027808028,1.0,1.0,0.9823798594398284,0.9156097227773592,0.8741966036583523,0.9819164328592708,0.9757057037043276,1.0,1.0,0.9843257156934556,0.7967630604946933,0.9946533444554629
60,0.96997129461946,0.6745417113593112,1.0,0.4211915097721902,0.3606078036082984,0.9693909165841824,0.9904434306572142,0.9803156607377056,0.9823910200967704,0.9968126975809268,0.9494223709778292,0.9257944281855744,0.8591114404391555,0.9338050088384772,0.9352159445204687,1.0,1.0,1.0,0.7749202400773431,0.9962272549513125
61,0.9220332164161248,0.8243262348163765,0.9933617322392154,0.5977706821681362,0.3066206806705131,0.9675406992533953,0.9902274711129392,0.9358823622581204,0.9925645814077728,0.9988723243538392,0.9016139657635605,0.9168174691339758,0.834069012426991,0.9350908497003232,0.9776692044451968,0.9872191368499516,1.0,1.0,0.9934669053851056,0.9908725263915069
62,0.974139383549152,0.9217740883301002,0.985680017103432,0.6784119000860238,0.3233864036715438,0.9209534801066732,0.9891605942542236,0.8050341770731171,0.9864367497469644,1.0,0.8130823561555656,0.9934107677035722,1.0,0.953846195524099,0.9230598450664892,0.985811686862302,1.0,1.0,0.902916529669113,0.976834035845756
63,0.9865679680348836,0.8473260393994647,0.9850623355689392,0.747276196299198,0.3714936025847453,0.9888560394981404,0.9893764261361864,0.0262397147402995,0.9918455208873488,0.9883319610955812,0.948285816230924,0.9517579697458468,1.0,0.8363664342749992,0.9678334955434158,0.975638410961614,0.987917135819612,0.9829681645331024,0.9301220057433696,0.9636102556992707
64,0.9979985584904392,0.9342809666291736,0.987710807795736,0.7587308452779998,0.5477386002407137,0.9772891770445264,0.9893677201905448,0.7573964304567014,0.9723383119269564,0.9894175883559784,1.0,0.9569883071680492,0.9943219721066884,0.7194671840577759,0.90643734003942,0.967896796199582,0.9887574057947026,0.983160632935094,1.0,0.9697962488609793
65,1.0,0.9511725535708409,1.0,0.7279844589620419,0.4077569980705623,0.9451561216178368,0.9849676442049898,1.0,0.9790511734773736,0.9681012366278589,0.9990537858999649,0.93399714675354,0.9862695831619815,0.7272953644922925,0.7115465326591941,0.9731276028518054,0.9722960955721268,1.0,1.0,0.9634839489592025
66,0.9667056465735612,0.8942515792153596,0.987743110329492,0.683696859500246,0.6682067659321957,1.0,0.982799550219864,0.0538899593093168,0.9795093693969148,0.998859879252317,0.9963977646512424,0.9480853199705572,1.0,0.9222904227218937,0.8024722178401175,0.9473917719634088,0.9884144052287522,1.0,0.5639684968350724,0.9792943615499254
67,0.9753286352779832,0.9745696217189976,0.9866464580718072,0.7521665003400617,0.901571022995488,1.0,0.9843243721515372,0.9914845545920936,0.9792031157254169,0.99538403697375,0.9960565232975512,0.9366162134021998,0.9230639680557085,0.8468127598461099,0.9007698801612752,0.9801901461806874,0.9705680197339864,0.9862840508604054,0.9642982770129992,0.9619236289930688
68,0.9851012439205488,1.0,0.9513939297258552,0.6680012538651517,1.0,0.8350921400488548,0.9842785153600804,0.031182344726594,0.9839209632702148,0.989160385287964,0.9009310963170826,0.9422713311447536,0.9442083876208968,0.8884269464269626,0.9196781578333192,0.998033510198754,0.9594767523429852,0.9903663810372578,1.0,0.8777343959078425
69,0.9705599106305984,1.0,0.9677557271267088,0.5804192260579208,1.0,0.7229976362000949,0.981736086227186,0.4013227718633951,0.9857755286620816,0.9957393846136332,0.9033514065435412,0.9682951486683496,1.0,0.7500188117454768,0.947484678790112,0.9924533194078904,1.0,0.9936817890495284,0.9524086210174582,0.8832765841308604
70,0.9650371213490242,0.9545651663107888,0.9963657668298534,0.5927800761650828,1.0,0.7122416415683861,0.9838484738168588,0.3678889767516788,0.9778780493436784,1.0,0.9456911580315668,0.9423131657852244,1.0,0.7260791450427752,0.96942169860168,1.0,0.9825072763298548,0.9920401790332728,0.95078504087828,0.8117642207279465
71,0.9810411435993194,0.8560238594956493,0.9943067049347952,0.5971855141391528,0.966764301901252,0.7880054745940944,0.9823881968799952,0.9895282928440696,0.969025438799245,0.9985864787444378,1.0,0.940927925811336,0.9830347586729185,0.750687541943146,1.0,0.9970805473997482,1.0,0.9884315600675866,0.925470618770498,0.7382227851293245
72,0.9902496536176112,0.9229979670257832,0.9879764947440292,0.5814720748386798,0.9904390681317228,0.8742693222129313,0.9816087394961582,0.9714524250098032,0.9679895411761428,0.999369633858309,0.9850032960891772,0.9085470632240688,1.0,0.6768239986919542,0.9920362070871448,0.9991947682305864,1.0,0.9859391350293684,0.8493517084633747,0.619315111595628
73,0.9878798857998572,0.933463147816006,0.985158394739444,0.6744034829332614,1.0,0.9361320053144984,0.9824202443000978,0.9489859171460694,0.9956557317385144,0.9729128799657676,0.9853552669458144,0.8757634970254401,1.0,0.668132985049459,0.9879861114345811,1.0,1.0,0.9601193462803196,0.4991724299549484,0.501574516412074
74,0.9871673500055692,0.911778648870393,1.0,0.6553240173190127,1.0,0.926196249743754,0.9819683324390468,0.7818635076601126,0.995166647879762,0.9961082108408706,0.9959886588210854,0.8717962249014777,0.5790978020323942,0.7332925362225051,0.999994130534988,1.0,1.0,0.9028909749296404,0.9301066261827138,0.6487012727887533
