n_policy,pack_PPO_BipedalWalker1,pack_PPO_BipedalWalker2,pack_PPO_BipedalWalker3,pack_PPO_BipedalWalker4,pack_PPO_BipedalWalker5,pack_PPO_BipedalWalker6,pack_PPO_BipedalWalker7,pack_PPO_BipedalWalker8,pack_PPO_BipedalWalker9,pack_PPO_BipedalWalker10,pack_PPO_BipedalWalker11,pack_PPO_BipedalWalker12,pack_PPO_BipedalWalker13,pack_PPO_BipedalWalker14,pack_PPO_BipedalWalker15,pack_PPO_BipedalWalker16,pack_PPO_BipedalWalker18,pack_PPO_BipedalWalker19,pack_PPO_BipedalWalker20,pack_PPO_BipedalWalker23
23,157.43583417000002,220.50202176,225.663110948,162.88600840599997,151.69223508800002,141.816549404,173.84921302800004,122.502434364,118.208291248,146.875319322,192.606364636,248.312667188,140.61912845999998,150.703537374,160.08113458800003,148.03363755799998,119.055350466,134.825128288,102.214896252,207.282809128
24,157.43583417000002,220.50202176,240.26629483,164.759604658,151.69223508800002,141.816549404,173.84921302800004,126.396384092,118.208291248,146.875319322,192.606364636,252.709281634,140.61912845999998,154.77349316000002,160.08113458800003,148.03363755799998,119.055350466,152.3560855,102.214896252,207.282809128
25,157.43583417000002,220.50202176,240.26629483,164.759604658,151.69223508800002,141.816549404,173.84921302800004,126.396384092,118.208291248,146.875319322,192.606364636,258.69275848,140.74632386000002,154.77349316000002,160.08113458800003,148.03363755799998,119.055350466,163.511949396,116.440420218,207.282809128
26,157.43583417000002,251.97308949600003,240.26629483,166.011708704,151.69223508800002,141.816549404,173.84921302800004,126.396384092,118.208291248,152.86330426399996,192.606364636,265.154965098,140.74632386000002,154.77349316000002,160.08113458800003,148.03363755799998,132.10578261599997,180.957518306,125.269571516,215.331315512
27,157.43583417000002,251.97308949600003,240.26629483,166.011708704,151.69223508800002,141.816549404,173.84921302800004,126.396384092,121.816146328,152.86330426399996,192.606364636,265.154965098,140.74632386000002,154.77349316000002,160.08113458800003,148.03363755799998,132.10578261599997,192.493364314,125.269571516,242.57222115200005
28,157.43583417000002,254.488201576,240.26629483,174.64579979799998,151.69223508800002,141.816549404,173.84921302800004,126.396384092,128.077062656,162.908716288,192.606364636,265.154965098,140.74632386000002,154.77349316000002,160.08113458800003,148.03363755799998,176.398303282,196.828385614,151.964086674,242.57222115200005
29,157.43583417000002,257.839179888,240.26629483,208.670217202,156.48450523399998,141.816549404,173.84921302800004,126.396384092,133.258173462,185.102275708,192.606364636,265.154965098,140.74632386000002,154.77349316000002,160.08113458800003,148.03363755799998,205.05476322,212.323622462,171.25628379000003,246.431433486
30,157.43583417000002,257.839179888,240.26629483,210.454299454,179.75852505199998,141.816549404,173.84921302800004,126.396384092,155.46569515,185.102275708,192.606364636,265.154965098,140.74632386000002,154.77349316000002,160.08113458800003,148.03363755799998,205.05476322,225.381380954,171.25628379000003,276.56092095800005
31,157.43583417000002,257.839179888,240.26629483,224.20147419,187.596967662,141.816549404,173.84921302800004,126.396384092,155.46569515,191.55190718,192.606364636,265.154965098,140.74632386000002,176.948630482,274.604365636,148.03363755799998,228.568510966,225.381380954,187.192459042,287.213041292
32,157.43583417000002,257.839179888,240.26629483,237.58890993,187.596967662,141.816549404,173.84921302800004,198.633914526,155.46569515,208.995594722,192.606364636,265.154965098,140.74632386000002,176.948630482,274.604365636,148.03363755799998,230.74881174,225.381380954,187.192459042,287.213041292
33,157.43583417000002,257.839179888,240.26629483,239.834422936,221.237860506,141.816549404,173.84921302800004,198.633914526,155.46569515,208.995594722,207.416380264,265.154965098,140.74632386000002,194.69712259,274.604365636,148.03363755799998,240.421315758,225.381380954,187.192459042,287.213041292
34,157.43583417000002,257.839179888,240.26629483,244.749447572,248.557428766,141.816549404,173.84921302800004,198.633914526,155.46569515,210.982871996,234.843803004,265.154965098,140.74632386000002,194.69712259,282.174760826,148.03363755799998,240.421315758,225.381380954,187.192459042,287.213041292
35,157.43583417000002,257.839179888,240.26629483,249.505426918,248.557428766,141.816549404,213.576638518,198.633914526,155.46569515,227.243431726,234.843803004,265.154965098,143.54271629000002,194.69712259,290.712392954,148.03363755799998,240.421315758,225.381380954,187.192459042,287.213041292
36,157.43583417000002,257.839179888,240.26629483,249.505426918,248.557428766,141.816549404,240.35475304,198.633914526,155.46569515,227.243431726,243.27328285,265.154965098,191.840790556,194.69712259,296.685534808,148.03363755799998,243.479479624,225.381380954,187.192459042,287.213041292
37,157.43583417000002,257.839179888,240.26629483,249.505426918,248.557428766,220.480004868,268.911146562,245.96656820600003,155.46569515,227.243431726,243.655836666,265.154965098,191.840790556,194.69712259,297.71572166399994,148.03363755799998,243.479479624,225.381380954,187.192459042,287.213041292
38,157.43583417000002,257.839179888,240.26629483,249.505426918,248.557428766,275.471540488,268.911146562,245.96656820600003,155.46569515,227.243431726,258.59696873400003,265.154965098,191.840790556,194.69712259,301.214840008,148.03363755799998,243.479479624,254.482656368,187.192459042,294.39896966799995
