n_policy,pack_PPO_BipedalWalker1,pack_PPO_BipedalWalker2,pack_PPO_BipedalWalker3,pack_PPO_BipedalWalker4,pack_PPO_BipedalWalker5,pack_PPO_BipedalWalker6,pack_PPO_BipedalWalker7,pack_PPO_BipedalWalker8,pack_PPO_BipedalWalker9,pack_PPO_BipedalWalker10,pack_PPO_BipedalWalker11,pack_PPO_BipedalWalker12,pack_PPO_BipedalWalker13,pack_PPO_BipedalWalker14,pack_PPO_BipedalWalker15,pack_PPO_BipedalWalker16,pack_PPO_BipedalWalker18,pack_PPO_BipedalWalker19,pack_PPO_BipedalWalker20,pack_PPO_BipedalWalker23
46,-68.22241767599999,-68.680144028,290.4018373,173.88607315800002,13.507009778,267.73981710600003,307.013765324,285.752254412,262.501436644,251.414809906,264.16893004600007,275.151102976,205.383855432,244.991421092,301.65936335600003,201.23460906,269.464187738,241.727329448,230.04988776200005,298.625033846
47,242.581704232,-6.328521628000001,292.010190036,137.52079434,259.567348362,190.558684246,303.74829403800004,297.579198506,265.001173874,262.677507866,275.93638498800004,184.78809297,177.910410338,233.198932586,281.682776326,273.687716532,275.686990384,232.912898198,240.275671706,295.37802651999993
48,265.700639032,-35.641737968,218.961446162,88.002711694,177.870869,159.223206286,306.703260744,299.221221118,289.61370929799995,276.076019654,257.941990032,274.780528052,220.252333726,233.0841557,282.21423869599994,275.68326493,273.96305465,238.625155314,212.540053452,299.121408178
49,183.276485488,-34.262316534,286.566574694,150.660334366,156.209116886,80.69369915,306.91638072,301.904009372,294.484774962,271.498484978,277.911354444,277.90485367,216.006814688,187.87503287400003,289.209122806,283.490446782,272.37889519000004,250.479584586,189.15995879,300.97604739200005
50,189.294961422,-17.878756878,229.937892474,122.210196608,133.98561347,34.257198794000004,308.991906802,296.147005252,303.835014716,262.86001457,278.618706766,273.08815504999995,238.193390916,214.82813046,297.709210492,266.79774286800006,273.64087591,-75.96930937399999,194.952649998,302.153146698
51,240.97610384,-16.091745575999997,278.284921486,116.272296156,191.239920982,57.292183276,309.443441674,296.396357344,306.460044082,277.21130626800004,280.823505742,271.327146998,209.82358568,245.608273174,273.37757469400003,290.45500338200003,271.815796562,-0.4491823980000003,163.80694419399998,298.814674816
52,256.46533338,-19.412219586,273.323088116,116.72961031399998,101.925060464,105.54065119,310.557741758,305.477603636,308.528178136,281.51704056,267.46197894200003,261.334306246,242.28841175,247.731841928,252.84144084,267.486668872,275.869306484,237.16421904,142.61768339000002,299.13685027
53,272.723109178,-47.508433878,197.671802796,122.61167948,213.394275606,183.700896776,309.69927102,304.67664358599995,305.439533574,283.84425046800004,277.69160627,293.90324358600003,245.327660838,245.631475134,255.447503784,269.61698718400004,279.52433386,234.223979542,164.210610482,297.518369724
54,211.93474077200003,23.885704906,262.32253648999995,105.122357304,63.94090972,226.667287198,310.32924039,306.600367644,307.379504798,285.35616612200005,276.66885384599993,288.21364929000003,224.390132014,225.27818335,270.75516748000007,282.684013652,278.25906751,-48.409853788,111.480866044,299.7977869
55,271.21912526600005,66.224557022,258.303621868,99.70369872,217.319316016,201.777357792,311.27135396,302.598661922,306.210128468,287.24036574200005,276.153827974,280.735376358,217.511780954,249.005453874,286.45582467,275.267690086,270.978919686,263.815105022,167.00554162400002,301.440147204
