n_policy,pack_PPO_Ant1,pack_PPO_Ant2,pack_PPO_Ant3,pack_PPO_Ant4,pack_PPO_Ant5,pack_PPO_Ant6,pack_PPO_Ant7,pack_PPO_Ant8,pack_PPO_Ant9,pack_PPO_Ant10,pack_PPO_Ant11,pack_PPO_Ant12,pack_PPO_Ant13,pack_PPO_Ant14,pack_PPO_Ant15,pack_PPO_Ant16,pack_PPO_Ant17,pack_PPO_Ant18,pack_PPO_Ant19,pack_PPO_Ant20,pack_PPO_Ant21,pack_PPO_Ant22,pack_PPO_Ant23,pack_PPO_Ant24,pack_PPO_Ant25,pack_PPO_Ant26,pack_PPO_Ant27,pack_PPO_Ant28,pack_PPO_Ant29,pack_PPO_Ant30
16,826.5873237137316,758.340452569149,548.1512881914884,711.665824529934,387.7424977132497,866.2838438705679,814.7599307364877,807.7181074921058,945.081748940204,782.8841772334437,578.4122882640136,812.507170569314,877.3940594666617,740.283866683916,494.6997174284394,894.5891470480532,713.2750048803401,859.0170092632865,342.8040125813991,518.8115125835493,582.1132084405881,447.6599128707872,548.7740974271555,652.6291115171554,854.992765694936,821.2596616975235,807.7821105358742,363.35842248046407,611.6065227733337,720.0320372829298
17,816.376459340306,812.1162299255261,466.806536078724,611.0511826568213,378.3706873004156,905.642975668084,711.6950703750731,773.4100021286581,900.8462851337448,790.8932961880826,636.1760786463321,699.583266428736,853.9750010447838,627.8886457544786,407.7440445153993,906.253404970666,637.3827317126022,719.4001331716225,264.4523526858988,500.5331369921339,454.4739273218779,482.1354472174557,469.22974369701535,668.919586657386,735.8131869610278,929.7434115910968,778.7385552798225,418.4221066475164,313.6489784219603,818.7932869917952
18,806.6689669359812,828.5484546673192,508.0382669390997,718.075086192892,367.9347409065508,848.3122937803503,831.1311979283591,759.6217435222392,915.4162395298362,742.9883567932804,488.10635919285625,680.669118120489,783.6590276727937,494.5792368754769,332.08675472985567,865.6888401138901,504.82286484338624,693.5570425729835,146.6930466095038,391.24037592913294,483.9273260819444,226.02108707906555,350.2825632687323,638.7025016995561,667.0254916607672,778.2833204300566,795.1764304488531,483.9255674746598,277.55669337498165,785.8595559024205
19,800.8534261904305,783.3668597827257,361.7286046045437,680.7112683602302,393.6012968285961,891.3020867831478,816.2909842210973,787.6551150088012,815.8013019064845,718.7451062457739,329.03967371665254,467.3764182092592,646.9154788331881,435.0678541863357,303.5117996882334,885.0762728271252,562.5040030710674,604.2354609028752,106.50355745296712,316.4198082213426,451.7486745218729,425.5770312612284,297.8654621642001,512.1507185769304,663.0518228728944,848.1787112114855,713.0875534950145,473.7528784634142,271.8231753637147,727.9365562144775
20,686.7116244934358,682.6640002392637,380.11964839182906,757.6610095965522,282.051429942585,903.6053756084108,801.350549876397,746.3785957222065,574.9264657949132,378.9267244681957,332.2011376400061,486.7119338046635,753.300254796467,425.83963943474015,252.6503706948471,879.4814860914065,509.574617605385,504.2599441352896,124.52563738479267,438.3668561065879,283.93436729530697,323.5577593981656,269.8794358585825,484.79774266710393,568.2826924762821,732.33510993035,655.8408192396599,340.0140445817757,240.609539712216,721.7284550135416
21,668.0208331141712,740.9146924052545,262.84710735981946,718.4694467865494,209.3740254634212,897.7534650793611,593.2027479839023,723.4921187002709,752.3358627581688,330.1428037844591,344.06780205965254,372.1265053346492,619.3205671256002,474.3725795981068,292.39812290569046,948.7412283013654,477.2301938775807,475.8058344820101,204.8822607439912,400.8129314632511,369.6137908257172,312.93535643063115,205.2900851834326,370.36414960809645,547.051172768245,727.3423298545011,713.9627412252487,245.45163591571543,242.84525448880703,599.1398258566506
22,650.0244953268061,639.1741846862124,180.2427853432452,710.4639158544961,188.76982031824545,839.509058520057,632.7862839619689,687.2980169422183,540.4738537749221,306.21848586024475,385.7964045243168,301.2751752407623,614.2397521416925,558.2145511576854,235.6951959389273,729.6893259123282,383.73076223174667,424.6742402956523,363.6699404634724,340.13098789686546,384.3953809165216,243.9016060153625,155.07681647644475,349.35706588507173,373.3653418313139,584.4428584870618,622.1916350924951,276.6757086989164,225.8100420443072,615.6785609347567
23,639.1595243983164,574.0000119143228,186.73741766874863,704.5601980487114,216.5587285242703,775.9657798081822,620.9662882534368,657.0679967534815,371.342264264015,257.14512684280663,443.8929280038221,278.2470498069264,700.720344734015,634.8263630005506,280.6454065520708,720.717762169478,288.16070227824565,382.69094339994814,317.3674010824012,341.72476940011654,325.53367647486414,259.11986372933075,197.92403305716164,318.55160934229383,356.67291320756937,526.5453041654171,482.7197496396434,242.99055021479475,229.1962064226969,423.3178376219037
24,582.9091312781828,487.5793479857882,184.60589970953063,659.7078051461644,200.54802602852783,713.4515487921137,467.6398187805482,518.9464518945881,276.5290415930741,369.8206818959155,458.5715997218777,274.7922921492752,725.2080607381265,623.9700222913651,305.7007812972566,764.4332336545104,293.67080994272385,363.475971183327,246.510321833382,284.1412598146729,368.8044784286801,221.39561155166152,168.43878307654057,276.63089244130043,336.28556208596774,416.0636521394729,382.0248021815908,225.32134974794445,218.8533871814674,453.4101618589391
25,675.963847899653,507.5236179025533,179.20728408394817,605.9503281341209,188.3084630933532,778.7087863765105,294.6964692735886,431.5697343061329,217.78492896087337,324.9950813353625,557.9564520160336,207.71651547748857,717.1737055087345,580.7846505043327,312.7041418941815,797.349521277158,245.05826279781743,286.1593818993114,200.9300962228361,300.658187042177,411.4367502390803,186.61715961150043,129.31768816912924,229.49101178836847,327.45095046542343,400.6734569852065,454.0900205242943,176.51444712350732,229.5603809494073,543.6371705663707
