n_policy,pack_PPO_Walker2d2_norm_from_mean_worsening_to_improvement_reward_diff,pack_PPO_Walker2d9_norm_from_mean_worsening_to_improvement_reward_diff,pack_PPO_Walker2d10_norm_from_mean_worsening_to_improvement_reward_diff,pack_PPO_Walker2d11_norm_from_mean_worsening_to_improvement_reward_diff,pack_PPO_Walker2d12_norm_from_mean_worsening_to_improvement_reward_diff,pack_PPO_Walker2d13_norm_from_mean_worsening_to_improvement_reward_diff,pack_PPO_Walker2d14_norm_from_mean_worsening_to_improvement_reward_diff,pack_PPO_Walker2d15_norm_from_mean_worsening_to_improvement_reward_diff,pack_PPO_Walker2d17_norm_from_mean_worsening_to_improvement_reward_diff,pack_PPO_Walker2d18_norm_from_mean_worsening_to_improvement_reward_diff,pack_PPO_Walker2d19_norm_from_mean_worsening_to_improvement_reward_diff,pack_PPO_Walker2d20_norm_from_mean_worsening_to_improvement_reward_diff,pack_PPO_Walker2d21_norm_from_mean_worsening_to_improvement_reward_diff,pack_PPO_Walker2d22_norm_from_mean_worsening_to_improvement_reward_diff,pack_PPO_Walker2d23_norm_from_mean_worsening_to_improvement_reward_diff,pack_PPO_Walker2d24_norm_from_mean_worsening_to_improvement_reward_diff,pack_PPO_Walker2d25_norm_from_mean_worsening_to_improvement_reward_diff,pack_PPO_Walker2d28_norm_from_mean_worsening_to_improvement_reward_diff,pack_PPO_Walker2d29_norm_from_mean_worsening_to_improvement_reward_diff
1609,0.9291800041378347,0.2103026589735957,0.0949602640672588,0.0115436734298119,0.3283915563140921,0.0783442486378665,0.4597479508003189,0.4836641140806667,0.182492092910515,0.7735079138736679,0.4271923750475453,0.5481759026430855,0.027456944275075,0.1700216814638564,0.5105678104810516,0.7984570169390682,0.8373240237703055,0.318132088462482,0.8736521785167757
1610,0.925516399571093,0.2038624767396109,0.1213819495368868,0.0,0.4802953928343179,0.0692138017202675,0.4648437180218645,0.5308567192454625,0.1802703597549747,0.7949016266954628,0.4815188987713843,0.5118566929243731,0.033007849287905,0.3647007054061887,0.482234312667353,0.847556290477943,0.918124404783081,0.2602096186846915,0.8944744470179713
1611,0.9308171565753482,0.2126621809352359,0.0696292194485657,0.0,0.328837009000672,0.0416700608094962,0.3100788488147032,0.4970053391400751,0.2124380460940364,0.8070287222144628,0.454721948111396,0.4688615329211896,0.0259489422101118,0.3654138973780989,0.3839436869568492,1.0,0.9006200595807144,0.1715127571059704,0.917122437399994
1612,0.890211942624952,0.223683610608813,0.0874800086750994,0.0295755309634333,0.2938557799237192,0.0834081663521701,0.2373643596564281,0.5186362023072848,0.3739030488059289,0.8092657163194428,0.4800263557131401,0.5119618631604128,0.0229742616142614,0.4546241974429757,0.4345745647995433,0.9685234760618636,0.8990395554300027,0.1913413491095454,0.9145176822404312
1613,0.8870696111429746,0.2855106297026003,0.0821511123779279,0.0477737744783089,0.2303828583213188,0.0636178295985954,0.1948273059673972,0.5097843518584333,0.0704531715020394,0.7250253956953816,0.4651613637480447,0.588399004967118,0.0392458455691244,0.5673975138511823,0.3455390141561339,0.931925892100531,0.9423669841678416,0.2024021757087301,0.904551042376119
1614,0.9095517478354318,0.281249749650466,0.1412626545464366,0.0648752126783795,0.2564792125357861,0.1177001135236735,0.1697434499718035,0.5211996091432075,0.090078925770601,0.7498100940221101,0.4338708305472633,0.5698413549613228,0.0464119968014024,0.4217523326473486,0.4775065301792384,0.9094622097280872,0.9288435452413296,0.092035527621647,0.8914751053352507
1615,0.908023768536791,0.2784686121540554,0.0965533680376975,0.0458319216244763,0.1277763899584054,0.1360176260935157,0.2001870193299809,0.5246438667987428,0.0698241889353337,0.7386813522668947,0.4357065984441368,0.5440257654578594,0.028943057988997,0.5017897635592237,0.3922508217050208,0.9065338702175016,0.9628032591182484,0.054872433351169,0.9002836465984225
1616,0.9072317760220148,0.3678365219388375,0.1125384160321667,0.0251696581259481,0.0792747796414015,0.2252352471464035,0.2244208314311419,0.5167172855783214,0.1163714229253711,0.7364900560939494,0.4394236678021873,0.5011092909052106,0.0,0.4611709335018633,0.4559572495403804,0.918345683938004,0.9430789478443552,0.1200227606771554,0.8994542196203502
1617,0.9064172590663148,0.2894616742066586,0.1305001592250087,0.1573623158095837,0.085975702477458,0.2440275671124218,0.2241172197457845,0.4597874585932235,0.1340215149565429,0.6462056884532514,0.4472240412942542,0.461873305453327,0.0,0.3763084660876554,0.6148364359133381,0.8678875004428626,0.9352595284160928,0.0623709129236249,0.8897170483338869
1618,0.9022821842557732,0.3390874938331663,0.0838070571358425,0.2432291757211119,0.1226816476765883,0.2042009745638809,0.2474871013129028,0.4923712095971836,0.1061485596922688,0.5915728639647394,0.4807508717404979,0.4672140506031117,0.002982384926143,0.5465119610902429,0.4663870433577039,0.8647664456402172,0.9077603116545137,0.0808749633770229,0.9010507354964667
1619,0.9024970398369376,0.3754083816824323,0.1229593579834328,0.3605515609976611,0.1194478022393619,0.2133530188527064,0.2335144422130857,0.4994241645715856,0.082922174293527,0.6530395793816004,0.4839486518490294,0.4904128489945262,0.0137510681486397,0.5587551648051634,0.4814058247865985,0.8766499077493695,0.8295391307923197,0.0217715674367417,0.885727586266759
1620,0.8944630696262659,0.3745449485065079,0.0944076857630179,0.5211024735078208,0.1305707173377706,0.1170984051351939,0.2211088331217988,0.5382447360994079,0.0574769617708564,0.5771607083666601,0.4619249582614132,0.4422821530909259,0.3511876379487923,0.5529090809838414,0.4705567431382634,0.8870875319621547,0.8832141871921263,0.0503244642076968,0.8771678869250732
1621,0.9023138690783186,0.3101926480840196,0.1050245612725205,0.5810145809962356,0.1503285273091823,0.1439639861327775,0.0908726039340963,0.5472372495628757,0.0223484087733816,0.4938814408315951,0.469749076422213,0.4474068767027434,0.0850634858371186,0.4283795230196146,0.3383760617751267,0.9405378951297694,0.9578250395843608,0.1147618723539956,0.8684461755971695
1622,0.9200741278219589,0.3020398199039519,0.1000218525554908,0.7593394285762624,0.1548598977791208,0.1981804403990238,0.168331605919055,0.5296248744604349,0.0409957310547934,0.4228488005312287,0.4918613088074745,0.3164708777975043,0.4146074968512126,0.4050915392531359,0.4657181619914308,0.8991794478859001,0.9208811823410809,0.0841126912575123,0.8688176105149826
1623,0.9211462315740956,0.2697335486839892,0.0957947661388688,0.7783816850411861,0.108118520648211,0.1852157073961039,0.0261902436745792,0.5565959027513326,0.0191819841047815,0.551785943473546,0.4928829728595568,0.3236360742328792,0.1751476361409073,0.2153795507314553,0.4720420595782535,0.792160622713773,0.8402605485424646,0.0361146009698446,0.8702797320264133
1624,0.928943697319077,0.2221941425392558,0.083956324639869,0.8954836900030144,0.1474220126691461,0.2349688382564291,0.0326309721360337,0.5969591418944354,0.0297629992054965,0.5358482349355779,0.4516491320508333,0.2205584918665117,0.95743458926634,0.1838774083370742,0.4334175488740632,0.9312315171096704,0.8485771624633074,0.1223574393787218,0.8722501163817182
1625,0.9265631843676688,0.2133382228693861,0.0668280308850489,0.907520466906178,0.1384532029114031,0.2571732342125647,0.0329174016995618,0.5769411419305325,0.0007660827662645,0.5464761117773844,0.4733691946686072,0.3438188258325145,0.3506525502744384,0.2376180736157251,0.4534124561838425,0.8271158432935934,0.825123837654709,0.1028448240040781,0.8895052891414194
