n_policy,pack_PPO_Walker2d1,pack_PPO_Walker2d2,pack_PPO_Walker2d3,pack_PPO_Walker2d4,pack_PPO_Walker2d5,pack_PPO_Walker2d6,pack_PPO_Walker2d7,pack_PPO_Walker2d8,pack_PPO_Walker2d9,pack_PPO_Walker2d10,pack_PPO_Walker2d11,pack_PPO_Walker2d12,pack_PPO_Walker2d13,pack_PPO_Walker2d14,pack_PPO_Walker2d15,pack_PPO_Walker2d16,pack_PPO_Walker2d17,pack_PPO_Walker2d18,pack_PPO_Walker2d19,pack_PPO_Walker2d20,pack_PPO_Walker2d21,pack_PPO_Walker2d22,pack_PPO_Walker2d23,pack_PPO_Walker2d24,pack_PPO_Walker2d25,pack_PPO_Walker2d26,pack_PPO_Walker2d27,pack_PPO_Walker2d28,pack_PPO_Walker2d29,pack_PPO_Walker2d30
36,249.06280371379853,255.0163583123684,261.3252498729229,258.62415532946585,249.4783276929856,252.92877373385429,247.26123727822304,258.0077582569122,269.5387582876682,285.8379470422268,269.2855510933399,246.6644943306446,266.1014195923805,267.16020031476023,252.5252447738648,266.332798484087,265.0028297488689,246.0169924182892,277.6457036659718,249.89510615563395,266.12281861639025,258.9855640220642,251.7609227182865,311.5192344994545,249.7552419643402,252.41059647965432,255.3786446721554,270.93420837807656,256.0192627530098,245.74167388367653
37,249.72232233202456,254.25096479701995,261.1274392604828,262.36054483556745,249.6398655049801,251.97737116193773,248.1275018398761,259.575736168623,272.2077099722624,291.334272295475,268.5786555662155,247.129009711504,267.0856193971634,268.6582643027306,253.8789090733528,266.4506914112568,263.99881142103675,247.38230725955964,275.3771083111763,249.80873776507377,268.68111922049525,258.5599096639156,252.06388959527013,313.9356851065159,249.1819147565365,250.2638143219948,257.2536120791435,268.9408529734612,256.6902200369835,245.5044120342732
38,249.81404904270173,257.0233401572704,262.3630756912231,254.0131029098034,251.43802127718925,254.26229367899896,249.0153812909126,257.739193274498,272.46260174787045,287.3429085536003,267.9793616499901,246.1464788851738,268.82456175351143,271.8547937283516,254.0342977831364,270.9841064243317,264.6166963469982,248.53738997411727,273.13405008625983,250.7536038537025,279.159737262249,254.95360081648823,251.7031237237453,309.61333897542954,248.8967421681881,248.768621799469,259.4814204962254,267.14301608467105,256.1826251194477,245.9663686037064
39,251.2689480936528,257.77002410936353,255.6813230378628,259.4865565443039,255.71112776970864,252.0588139233589,249.0238673348427,257.5574732217789,272.242554608345,284.7995723695755,277.6361380853653,245.72506201529504,268.6603799521924,282.2275710049868,253.99326080036164,263.87478930664065,258.4902627322673,252.7823912534714,275.12757521605494,250.44974890398976,272.50094133377075,256.1769377763271,250.9869184322357,306.35283304011824,247.1688491415977,250.1393204302788,256.88577335381507,277.8298649818897,256.62208075928686,246.0208916745186
40,249.04893562936783,259.7266413874626,253.9017332708836,252.156908662796,257.5190577404499,251.35723695063592,248.3934962325096,260.061887912035,270.57984678673745,290.5045270795822,281.9302184060812,246.1049733185768,268.6702545764446,295.10634015536306,254.7339393582344,269.7563863692284,260.77192695617674,254.58414132142067,284.2034435997009,250.2256034591198,271.5060927734375,254.382261800766,250.2415788691044,308.9465042129755,246.86538857483865,250.5530370395184,256.6878379085064,274.35316225528715,257.9297892682552,246.5868735208512
41,248.1899565398693,258.9040842444897,255.58167503476145,251.7708042368889,265.01918927741053,251.5072703475952,249.89780783796311,257.8095447781086,270.6846857823133,287.33986135697364,281.9416256122589,246.59795496296883,266.8784521975517,291.49132104051114,257.2224470640421,265.5957868494987,259.0137620840073,255.9307516081333,284.0855912866592,249.9748839457035,285.3606075005532,255.84788227200508,250.10447751402856,313.6171200380325,246.2903916389942,251.9761593146324,258.07705017781257,271.082395843029,259.8970292305946,246.7346537196636
42,248.09223114180568,258.5896123864651,251.9033900287152,250.87715182304385,264.6696045718193,250.60865660524368,250.38101622462275,257.8060957489014,271.03075217974185,295.4479166581631,274.34240344405174,246.9754281466008,265.3582100710869,301.9336418981552,258.77353053760527,262.58401684069634,259.5235157706737,251.89728978466988,288.26790988230704,250.04601754236225,307.7094345548153,256.9963156776428,249.503682920456,316.3164267308712,247.22627187514303,256.2949216809273,255.00561930537225,270.66460368585587,262.28215906691554,245.9593196496964
43,248.5114244873524,258.27064483118056,251.33653040623665,249.11452702713007,258.3787926633358,249.04315261816976,250.49805789279927,256.1001710140705,268.05363482379914,296.19018621587753,269.9584976611137,247.32264063572885,272.749275305748,278.7100707786083,255.69739595937727,261.2057846429348,257.2114688475132,251.88852747011185,281.57799557721614,250.0434027409553,292.67887343215943,255.9035751805305,249.74958937954904,312.0836108390093,246.00773291015625,258.5387354354858,256.6026722471714,280.8278485708237,262.48740155720714,247.255151567936
44,247.7982901449204,255.1635938785076,251.6926147968769,249.8962579627037,256.5901236023903,248.97876722860337,251.9139481940269,255.31575451874733,267.4573545104265,291.7290010418892,267.9399096837044,247.9746047472954,270.68729016399385,290.2040031480789,258.061573618412,263.8925203847885,256.7480341141224,254.2532425024509,275.7817047352791,249.6782701010704,281.3810136740208,260.2433368358612,249.0383399415016,310.59256815588475,245.75171698355675,257.16366006231306,256.9627842593193,274.56161329984667,261.289883654356,247.96674671149253
45,247.82472600507737,252.88543736958505,250.6522300851345,251.59058656549453,254.9337109217644,250.71180691814425,251.2983295254708,254.49351424479485,266.6209793163538,274.19425151777267,269.66582449817656,247.8677414422035,276.2877640380859,325.7360334378354,257.4872092103958,258.7835915162563,254.6942351436615,251.1001616923809,266.28315531516074,250.09667871546745,283.4451864500046,261.3763591103554,249.0026534655094,305.6137667337656,246.1366934902668,258.1035669391155,256.5833978827,276.0940288496017,265.5461844227314,247.00199561429025
46,247.84557959246635,253.96046753001207,249.49445581150056,250.26133612465856,254.7827414121628,251.6498061261177,251.2831598405838,254.011468316555,270.2441747869253,275.8015187146664,267.9587649219036,248.1015051195621,279.5141616551876,300.03858176755904,259.8439573681355,258.0013010737896,256.4531547880173,254.1959791750908,267.69279421520235,250.0683238434792,287.74101218533514,259.33966967821124,248.74091245627403,309.99954480552674,246.09025355649,257.71216477537155,256.0341425573826,279.04620691084864,262.9937500178814,247.46655950522424
47,248.2233927989006,253.549352244854,251.73442878699305,250.2271249890328,254.2150318799019,250.9857789211273,252.8723639888764,251.55123517632484,263.2078305895329,270.9763283894062,263.7132555949688,248.3770408439636,285.470695833683,307.61754603493216,259.7507511267662,258.64895250082014,257.95790567588807,251.2710946266651,267.70889269709585,250.32980427527428,282.65269354224205,259.2090933420658,248.61943885040284,306.1163248177767,246.52059642791747,261.7992979938984,256.13086393904683,284.16562206590174,264.2096401779652,247.92722396039963
48,248.53802122712136,253.6584802262783,253.98678905820847,250.4522370100021,253.3414566538333,250.73749069809912,252.7106032509804,253.80163696694373,265.1363420678377,269.0060050852299,264.4400655510425,248.373270064354,285.06018265581133,321.75166258192064,258.6226219029427,260.92152292513845,263.1345505573749,252.10289695811272,264.7242451107502,251.3616685342789,279.352237098217,256.6534776182175,248.1262631547451,316.267000341177,246.7651849975586,265.3967027089596,256.4291324186325,285.7889354920387,264.3607198224068,247.4464517855644
49,250.0176637253761,252.3947258710861,255.48339533925056,250.74574577903743,249.2361678216457,251.40370327663425,253.7400178775788,252.97232512807847,262.1246553199291,267.5852188732624,265.2967176923752,249.5658668012619,281.6066211912632,319.39174350261686,259.0255893931389,265.07499193930624,260.8641979396343,248.2448718850613,266.90485772657394,251.51277657985688,284.56109791612624,255.5526607401371,248.6625295188427,316.7685462065935,247.22686451077465,268.9817165622711,256.1432152018548,292.1000807317496,261.6543526544571,248.01987301683425
50,250.6366027786732,251.51739068460463,256.97550124764444,251.7766215469837,248.4619222085476,251.084290683508,255.7988819766045,254.46076754307748,255.1654547240734,274.5270907561779,263.1821291642189,249.9457463424206,271.9340065944195,309.88562885916235,257.6063896095753,264.689024207592,264.2566045942307,249.7407807343006,265.4410965902805,252.124907528162,284.094876254797,254.836358782053,249.4990407719612,312.83689222216606,246.9559336833954,271.92708003401754,257.8087514255047,296.00829831397533,262.2285725660324,247.7391274113655
51,250.23619910669328,252.3732026338577,260.20051481485365,253.36321093058584,249.4731672167778,250.40044937944413,257.80784280347825,254.0625631659031,252.7531276898384,286.5991622617245,267.4549479477405,249.8652486937046,268.6550189859867,326.12861724805833,257.6398770530224,265.2354408962727,261.75502749300006,250.2128430495262,264.53167833137513,251.58391589188577,273.4207267999649,253.50119042253493,249.8197701625824,295.47478662109376,247.6431083126068,271.26131407546995,257.2732413520813,296.04021681904794,262.679629076004,248.36502707481384
52,250.5872735238076,252.66076352882385,259.5754529387951,255.6927988574505,248.58318071460724,251.1518539662361,254.971336933136,253.47004174494745,251.66393195819856,293.3795123095512,266.2598890836239,250.1184805371761,269.6958973073959,340.8234546352891,258.0315085632801,263.832849165678,261.2018335030079,248.84870648527144,263.5166914885044,251.78276617264748,271.01198436570166,253.90132925724984,251.39972427606585,292.040454608202,247.93450292944908,267.85401996588706,260.5414258377552,296.0961892683506,263.9333542847633,247.47320163321496
