n_policy,pack_PPO_Walker2d1_relative_perc_criteria_best,pack_PPO_Walker2d2_relative_perc_criteria_best,pack_PPO_Walker2d3_relative_perc_criteria_best,pack_PPO_Walker2d4_relative_perc_criteria_best,pack_PPO_Walker2d5_relative_perc_criteria_best,pack_PPO_Walker2d6_relative_perc_criteria_best,pack_PPO_Walker2d7_relative_perc_criteria_best,pack_PPO_Walker2d8_relative_perc_criteria_best,pack_PPO_Walker2d9_relative_perc_criteria_best,pack_PPO_Walker2d10_relative_perc_criteria_best,pack_PPO_Walker2d11_relative_perc_criteria_best,pack_PPO_Walker2d12_relative_perc_criteria_best,pack_PPO_Walker2d13_relative_perc_criteria_best,pack_PPO_Walker2d14_relative_perc_criteria_best,pack_PPO_Walker2d15_relative_perc_criteria_best,pack_PPO_Walker2d16_relative_perc_criteria_best,pack_PPO_Walker2d17_relative_perc_criteria_best,pack_PPO_Walker2d18_relative_perc_criteria_best,pack_PPO_Walker2d19_relative_perc_criteria_best,pack_PPO_Walker2d20_relative_perc_criteria_best,pack_PPO_Walker2d21_relative_perc_criteria_best,pack_PPO_Walker2d22_relative_perc_criteria_best,pack_PPO_Walker2d23_relative_perc_criteria_best,pack_PPO_Walker2d24_relative_perc_criteria_best,pack_PPO_Walker2d25_relative_perc_criteria_best,pack_PPO_Walker2d26_relative_perc_criteria_best,pack_PPO_Walker2d27_relative_perc_criteria_best,pack_PPO_Walker2d28_relative_perc_criteria_best,pack_PPO_Walker2d29_relative_perc_criteria_best,pack_PPO_Walker2d30_relative_perc_criteria_best
10,0.8743246948656745,0.8625095860590668,0.5384448202441797,0.8529347488740496,0.7503828761658258,0.9454218916315724,0.8264133085640427,0.7683254222902285,0.7387229848294149,0.7904979582763425,0.9484289787956536,0.7339658880580462,0.6843422080429615,0.807221644393371,0.8521595625318975,0.7714133158620099,0.9535238128465344,0.7490214046723643,0.7157590659659081,0.8067971776201218,0.7849626969820865,0.728369481520943,0.8901583694651082,0.9645706003730236,0.7332342931283151,0.8554292214666389,0.8873952177924666,0.9088299638610978,0.8887337877191884,0.8210764320995664
11,0.8595864206947614,0.8613083055147911,0.5409442652561041,0.8501280043674155,0.7412045973225313,0.9447234703891034,0.8228388076902888,0.7696234917481738,0.7302483067431764,0.7982489015001748,0.9543288162259892,0.7180844186952677,0.6821329826609345,0.8125082081289918,0.8210628046257766,0.7703588536344155,0.95590114966858,0.7493563837050672,0.7256763943703725,0.7948482353468652,0.7844557159481333,0.7272834085212524,0.8652706761963408,1.0,0.727181878839996,0.8608785039647785,0.8758690873925592,0.9192122525916614,0.8908697068730387,0.8214359824751716
12,0.803235289749288,0.8596121339715854,0.5745027468622931,0.848952845431689,0.7432027325781159,0.943046894860756,0.8288937566836124,0.7745521778740976,0.7254507895376748,0.8190853836952341,1.0,0.7299530190104297,0.6837605037120216,0.8167370766188783,0.8317545196161311,0.7721561045971992,0.943460494205478,0.7507670908347261,0.7506877245617208,0.7916204625456561,0.798046598863763,0.7280424749885023,0.8545476037039507,1.0,0.7242122589892696,0.855025926326882,0.8838344993781498,0.9481259742557796,0.8846844734423287,0.8088118490126457
13,0.8003301485210833,0.8639074708376663,0.5428556154931726,0.8480800049212404,0.7596639036056867,0.9443588803556598,0.8325309797337055,0.7661242685188159,0.7300259615653204,0.8115899633290077,0.946662369333244,0.7263346185218332,0.6841962844503287,0.826886187821766,0.7807677738494454,0.7714049180096687,0.9624027386569948,0.7483800635038936,0.7566469418707398,0.768856563329574,0.7971017535818626,0.7299269165365282,0.8646806171980076,0.9287727705685652,0.7201292486400973,0.8642141605218377,0.8811625374095114,0.9350224817240984,0.8868724427174866,0.8055194494261373
14,0.7998546221795823,0.8583558154804294,0.5720322669123539,0.8469326572549977,0.7406289212481935,0.9442588692577728,0.8231921217512539,0.7607074396817228,0.7185040042952204,0.812027013810361,0.9660903406794143,0.72404873987294,0.680226205982145,0.8420531697825246,0.7489138012083022,0.7708023593585623,0.9788884021361768,0.7496217042787322,0.7531148515025304,0.7553919414043656,0.7991603488945189,0.7279949439534109,0.8868472866465018,0.9522733489145891,0.7193991286428999,0.8718733533353502,0.8834217419930723,0.942131034782648,0.9016675534475224,0.8060950865470177
15,0.8489118277454223,0.8580432608399686,0.546908776632585,0.8466136493447677,0.7435121002330407,0.9453539327696544,0.8248205146357259,0.75982521445824,0.7124558644055353,0.8125997570352756,0.9306663615804176,0.7286868976123769,0.6693609860157721,0.8280039143978785,0.7126183025609595,0.7717300260200757,0.9504008973582236,0.7503513386797139,0.7414437164057924,0.7455320570371735,0.8232934871068409,0.7288693303225301,0.8667518350685761,0.9824424320108536,0.730148388055471,0.8857184143062201,0.88267012123372,0.9286447190226592,0.9046673324397906,0.8083084159932367
16,0.9149824493952298,0.8571195959147166,0.5766808851135793,0.8470897345828298,0.7386919468227564,0.9469377406773692,0.8254060003322952,0.7598185758173537,0.7161930289686912,0.8103822336304033,0.9441709230748924,0.7187118727368956,0.6693160600689089,0.8435121872611223,0.714226116634197,0.7772805536551655,1.0,0.7499927751228024,0.7356600071913373,0.7437417835602589,0.8423307333271317,0.7288215188418687,0.874595022421989,0.9917664172005004,0.7265696874044794,0.8939537636152713,0.8792801415951179,0.9536413337397242,0.9098771043519992,0.8108328074810899
17,0.9084253236555706,0.858311921854016,0.6041282266621368,0.851444428461402,0.738859590970699,0.9534323396841776,0.8199116147063519,0.7609622848712355,0.7210637006697221,0.8220284896985643,0.9480917677505852,0.7107435457840875,0.6702331271502953,0.8329551440351575,0.712981082830356,0.793291950860027,0.9422640267819374,0.7500351809917354,0.7235168114806387,0.7415313700400104,0.8450356407477164,0.7332106277401864,0.8549950494486437,0.985220408549705,0.7333342316947079,0.8924303461251162,0.871227002199269,0.947102874380402,0.8877638335172461,0.8116947413766751
18,0.9263807913631136,0.8618832087497219,0.5591617698322635,0.8513503996500115,0.7407853463612266,0.9494404820125562,0.82411225924028,0.7668992390267713,0.7319226864400621,0.8091694593728089,0.9716910281550803,0.7240498548679718,0.6801171884452772,0.8327068189307224,0.7124915526815151,0.7780843075766221,0.9018990807393086,0.7518978693871875,0.7206192164249868,0.7409355257343881,0.8674250332321848,0.7362123312620585,0.8670263926672962,0.955114718318052,0.7268456771972406,0.8876916434251897,0.875863865243547,0.9525376555548744,0.8827600974099956,0.8131014923533829
19,0.9757836258432364,0.8584822886403151,0.540784456204231,0.8521552205367985,0.738923207218763,0.9548111889745544,0.7990224105792405,0.7713635306866035,0.7300523154721409,0.8208855523507297,1.0,0.7169403764963594,0.6871195904486197,0.8283416009852146,0.7116533870167584,0.7792518453225641,0.8940557082374451,0.7515110969226866,0.7224609980208594,0.740979871250902,0.8701801135096843,0.7366760506337203,0.845307205917098,0.897531932628781,0.7176816772023782,0.8887128057457934,0.871301716631908,0.9519866357285682,0.876475247121361,0.8139348317807097
