n_policy,pack_PPO_BipedalWalker1_relative_perc_criteria_best,pack_PPO_BipedalWalker2_relative_perc_criteria_best,pack_PPO_BipedalWalker3_relative_perc_criteria_best,pack_PPO_BipedalWalker4_relative_perc_criteria_best,pack_PPO_BipedalWalker5_relative_perc_criteria_best,pack_PPO_BipedalWalker6_relative_perc_criteria_best,pack_PPO_BipedalWalker7_relative_perc_criteria_best,pack_PPO_BipedalWalker8_relative_perc_criteria_best,pack_PPO_BipedalWalker9_relative_perc_criteria_best,pack_PPO_BipedalWalker10_relative_perc_criteria_best,pack_PPO_BipedalWalker11_relative_perc_criteria_best,pack_PPO_BipedalWalker12_relative_perc_criteria_best,pack_PPO_BipedalWalker13_relative_perc_criteria_best,pack_PPO_BipedalWalker14_relative_perc_criteria_best,pack_PPO_BipedalWalker15_relative_perc_criteria_best,pack_PPO_BipedalWalker16_relative_perc_criteria_best,pack_PPO_BipedalWalker17_relative_perc_criteria_best,pack_PPO_BipedalWalker18_relative_perc_criteria_best,pack_PPO_BipedalWalker19_relative_perc_criteria_best,pack_PPO_BipedalWalker20_relative_perc_criteria_best,pack_PPO_BipedalWalker21_relative_perc_criteria_best,pack_PPO_BipedalWalker22_relative_perc_criteria_best,pack_PPO_BipedalWalker23_relative_perc_criteria_best,pack_PPO_BipedalWalker24_relative_perc_criteria_best,pack_PPO_BipedalWalker25_relative_perc_criteria_best,pack_PPO_BipedalWalker26_relative_perc_criteria_best,pack_PPO_BipedalWalker27_relative_perc_criteria_best,pack_PPO_BipedalWalker28_relative_perc_criteria_best,pack_PPO_BipedalWalker29_relative_perc_criteria_best,pack_PPO_BipedalWalker30_relative_perc_criteria_best
20,1.0,0.7869796419236804,1.0,1.0,1.0,0.7760028169059685,0.4451390686239438,0.9328878594526774,0.1133291422191952,1.0,1.0,0.9505380709869276,0.9392971564828474,0.1403517807834564,1.0,0.6454293888060533,1.0,0.1831575226049153,0.7310975883898212,0.7313782834624176,1.0,1.0,1.0,1.0,0.0690445805519988,0.0396169443042621,1.0,0.065158531877452,0.8609678850057575,1.0
21,0.0065325498077817,1.0,0.9940401189563188,1.0,0.9651072585815654,0.3077009254637161,0.8541268490264958,1.0,0.1944694440778155,1.0,1.0,0.8555337775240678,0.9043859185341896,1.0,1.0,0.9927487382597552,1.0,0.718345096295519,1.0,1.0,1.0,0.6637858782314083,1.0,1.0,0.0368370760545541,0.5449464967490865,0.8055179981127891,1.0,1.0,0.1180195588026539
22,0.0227713555227092,1.0,0.8882100194599035,1.0,1.0,0.37979878483339,0.2407435244972495,0.8872146395440177,1.0,0.7785333762653136,1.0,1.0,0.9086457872778586,0.7750709010993118,0.0147540974016447,0.9653480732469842,0.3285970874985337,1.0,1.0,1.0,1.0,1.0,1.0,0.0899478913418937,0.2189265578304016,1.0,0.9453066741890188,1.0,0.7957167991550022,0.1070469793788879
23,0.2639586607679173,0.0143611916477407,0.2731162434323607,0.96686141862158,1.0,0.5953730733393338,0.1630456311969706,0.426644492265881,0.0733339718219189,0.9340209894426036,1.0,1.0,0.8505933217187316,0.5094825157991247,0.0444839649957717,0.9572148014978906,1.0,0.7385329313161695,1.0,1.0,0.5587284438058585,1.0,1.0,0.9912536512489408,0.7036926008804916,0.6725874977360947,1.0,1.0,1.0,0.3717885558810104
24,0.9358214383657764,1.0,1.0,1.0,1.0,0.527760073783686,0.063533682986783,1.0,0.0670933997681522,0.964435733391932,0.8636070170094898,1.0,0.9404459482258848,1.0,0.0502329787573466,0.9595134439653356,0.9654819927703212,0.7523320189727548,1.0,0.983572755697137,0.101460564620711,0.4834686620857856,0.6380691369156927,0.0365618123228367,1.0,0.0416288863562811,1.0,1.0,0.3085107361816244,1.0
25,0.763259907204915,0.1377332761699824,0.9700714592333703,0.9786470143833752,0.962241187117848,0.2602589177681835,0.2189057784284227,0.310377730590221,0.0575695328587146,0.9779541605638724,0.995616350207396,1.0,1.0,0.5450024779537905,0.0254285363395825,0.848485005945175,0.8965071195872485,0.8707530242106802,1.0,1.0,0.9983769759790048,0.1320513679528326,0.7823238909675128,0.0601526189956123,1.0,1.0,0.94760535564114,0.0188709193050574,1.0,1.0
26,0.7375912133526791,1.0,0.8444046578733714,1.0,0.9819459494269376,0.434889063098707,0.257378923433563,0.233025613369468,0.0358929437947325,1.0,0.94854205791871,1.0,0.0781553775714109,0.1487467248789443,0.0136060254626136,0.8593058090451513,0.255477520426691,1.0,1.0,1.0,0.3670532288733491,0.6047724176688744,1.0,0.907067038692068,0.991322383901192,0.0083250994537708,1.0,0.0841799718553999,0.1259992336773708,1.0
27,0.0279733063296662,0.9423716985950537,0.8800302521911297,0.8187495646929911,1.0,0.5129567759901482,0.066706108839846,0.0974495873739672,1.0,0.980164123036476,0.9501532343591108,0.983705847051842,0.9503009389547464,0.1675263848199049,0.0471642847227884,0.9207022105389268,0.88587534654806,0.9431269141268084,1.0,0.8970434964196929,0.3199549176874185,0.1012048639139889,1.0,1.0,1.0,0.4258189017104802,0.9928572042668944,0.0061077006988194,0.1265229806153135,1.0
28,0.5743968074610796,1.0,0.7061934936072674,1.0,0.0319464456087167,0.2794894108350048,0.3770959823771694,0.259700962241489,1.0,1.0,0.981017174247925,0.973542261235196,0.7939496827020621,0.0964322079988046,0.0438155934342301,0.7357289963419872,0.9760801755133748,1.0,1.0,1.0,0.786746707631599,0.9879590898876572,0.8681432202546302,1.0,0.943284141324538,0.7618118108061077,0.9872179380397818,0.0185075386140299,0.0013024895722374,0.933033751400965
29,0.1379753277072971,1.0,0.6634878140915512,1.0,1.0,1.0,0.921870135832202,0.5084573101496962,1.0,1.0,0.9575801561495412,0.972138224995332,0.3696077754053806,0.1345385571508953,0.2506969999847842,0.4166705582024806,0.9717679405619796,1.0,1.0,1.0,1.0,0.0073838419559774,1.0,1.0,0.8739797951673731,0.3370886091805794,1.0,0.0103160433129379,0.9687236429425836,0.7753095214735919
