n_policy,pack_PPO_BipedalWalker1_100,pack_PPO_BipedalWalker2_100,pack_PPO_BipedalWalker3_100,pack_PPO_BipedalWalker4_100,pack_PPO_BipedalWalker5_100,pack_PPO_BipedalWalker6_100,pack_PPO_BipedalWalker7_100,pack_PPO_BipedalWalker8_100,pack_PPO_BipedalWalker9_100,pack_PPO_BipedalWalker10_100,pack_PPO_BipedalWalker11_100,pack_PPO_BipedalWalker12_100,pack_PPO_BipedalWalker13_100,pack_PPO_BipedalWalker14_100,pack_PPO_BipedalWalker15_100,pack_PPO_BipedalWalker16_100,pack_PPO_BipedalWalker18_100,pack_PPO_BipedalWalker19_100,pack_PPO_BipedalWalker20_100,pack_PPO_BipedalWalker23_100
18,16.10669134577067,-19.201685502778563,-0.5949514239639393,-51.90676269484349,-61.791165117532216,-32.97369529546431,26.26422087735424,-22.409034802294045,-68.38258369898278,-56.9804451170552,-62.19276592192364,-22.61138940355813,2.246236669227073,-5.408177909188234,1.7289929382460831,-32.858926089398736,-37.86886020324877,-57.947542289062696,-69.77560042503669,-6.027539672472049
19,18.95617590475216,0.0745457350011565,20.38125283331756,-45.29452275650503,-56.72845397368656,-9.786812101734975,38.76122879380455,-9.004692852642766,-55.37363585011059,-58.58960525051196,-64.17939430967155,-10.131806336507143,16.737979756860003,6.382363743513706,17.226711151690395,-17.58142963836726,-30.36139155810539,-54.60772008468164,-66.62845706163061,5.753460379066964
20,31.26287568659856,24.799539410724247,22.847336957847872,-32.75174740855466,-48.0611011042296,-6.836145084279269,48.09236251069517,7.762220035632636,-56.87027862122646,-50.0058647066998,-66.16684137125878,0.6203340119529457,31.983250979334407,7.7684465639686096,32.19383734848452,-7.592886973860441,-27.533730659179128,-53.42453740410871,-52.85435168912758,13.786085564659295
21,48.79726966354836,34.09700409790377,40.37323533229588,-31.81749239362747,-43.776390362435926,-11.4237233482585,58.69790665328336,20.398169623181165,-51.21898881315821,-35.36490611877671,-56.60367647548264,25.07603708155264,40.36662492465111,22.62747256156581,43.16365464557995,8.153644972658366,-36.4886028839073,-41.96220625160233,-49.87320982516751,31.90642351288436
22,57.239182711062746,40.40796559328504,67.0244807346612,-26.73598899751494,-32.797775495351964,8.097345393155411,63.396601008068025,34.6140097814356,-44.51785605691155,-25.87243425943685,-51.18771424597478,57.16281456797748,45.96984117775341,28.416926318978074,46.21271237471578,18.19220790091524,-35.284932955473195,-21.34831133374188,-48.252265703129815,49.17182774144661
23,66.23763795119216,58.77527987154986,82.177225348543,-7.836735838456661,-20.780239348024622,16.22671875675267,77.05381439844118,35.63090697565203,-34.0395927167061,-12.030185622257996,-40.02990910512861,62.352085563229046,57.70082497726253,35.71650497349794,55.1919748057994,30.9995350823857,-18.475193782862625,-19.30078228167302,-37.675058890834045,69.3149050357024
24,67.05218455214622,77.51581057884542,100.33119774121252,-8.14311594114959,-18.31816177101908,30.34834025742253,81.83015904542437,40.6737716937199,-12.175115604035543,-4.304089925515509,-38.18697784245611,78.54590345860619,77.16443361947516,46.36770380626142,67.54328487792606,42.63867252647964,-22.68584635340405,-26.013272179316264,-41.515041574857605,77.47788744782723
25,61.7046294209396,81.27858533188105,109.06815439856422,-4.384860840235633,-16.74218306076131,54.36738342809898,78.00975666862446,49.4267037197054,0.9024051962456542,4.519089178627546,-30.80204728787357,107.30262293005552,93.51482625585253,66.29212177199369,86.28201239279224,50.49604529444885,-5.849895518534322,-7.327048130282783,-25.2022841779617,75.1247438445971
26,67.98573085072901,105.30553127227932,122.167184447021,2.404275666777248,-0.6037241355665174,63.01431962647115,90.07548995613062,54.94228702663008,9.902919496996038,21.07438133554133,-11.934784665350453,116.25887916987048,88.66858111455134,84.19944519415775,106.5093005094389,52.35702424833522,18.27622020716648,3.166768691299512,-16.110461802661884,71.86237859431304
27,85.9681305727562,124.37862920443148,126.79563738037658,8.976362183646852,25.6665518651934,71.89091901218289,100.28858249313284,68.9171185256794,21.81289831228081,38.113484581620575,8.54059121326718,107.66185481013991,83.0334702776646,82.26052133590012,119.06884186187614,70.45841560068322,7.093363834136981,11.142023117829956,-7.193384088626772,71.88230170082737
28,88.08302359471185,118.12520616274384,148.7688406168617,-15.04022560620826,34.91741713093972,73.09223817224905,110.48641381708993,86.06335780837864,39.82530809574578,50.07495372352001,21.4973931145182,100.1933447047668,88.07039891426743,88.3104281807829,110.5268610770283,87.14587230415069,18.973730175011152,16.265031771127397,1.3642879467859166,97.48519442597085
29,82.99048469237415,121.3360308352363,156.29292019412185,8.720265075441711,52.16116910993289,63.755040747117455,123.27802223977136,98.399474387863,45.53808516649413,46.19633445893444,33.934140772349856,106.1468939800751,90.2180264281659,102.4141167470868,114.68749539730824,87.53226048684475,15.79053633643518,25.3367481626432,17.488570565113914,109.14007808513443
30,94.610763618528,120.73461279570562,159.98223909093053,39.677217787163535,72.30867863151441,88.30229785661854,126.42591054194185,108.30287252444396,47.87395615480055,47.681489859814754,46.969270008451495,104.71666661792813,101.70210213363578,109.2155126871296,130.6128230797172,92.8774685806944,35.22295899684425,30.42330494126392,35.32269768786471,119.74818756754657
31,114.33190709763149,110.04907957883552,166.93182658487393,62.58818903566484,77.74128039489646,113.70714000011824,139.3144358065455,115.17279175376112,53.5689122860317,54.92597093323595,41.31883659440355,110.27022878016288,115.99138033454336,113.99555583094212,126.73478674216037,104.3691723337122,43.13387644808903,36.32241322709815,36.67287679110603,127.86332901959322
