n_policy,PPO_Ant_seed1,PPO_Ant_seed2,PPO_Ant_seed3,PPO_Ant_seed4,PPO_Humanoid_seed1,PPO_Humanoid_seed2,PPO_Humanoid_seed3,PPO_Humanoid_seed4,PPO_HumanoidStandup_seed1
212,0.001344,-0.0,0.2350559999999999,0.0572479999999999,-0.0,-0.0,0.10748,-0.0,-0.0
213,-0.0,-0.0,-0.0,-0.0,0.0010319999999999,0.06288,-0.0,0.0996479999999999,0.05156
214,-0.0,0.0124239999999999,-0.0,-0.0,-0.0,0.0312319999999999,-0.0,0.0012559999999999,0.001344
215,0.0774639999999999,-0.0,-0.0,0.1173999999999999,0.0749279999999998,-0.0,-0.0,-0.0,-0.0
216,0.0621039999999999,-0.0,-0.0,0.0410239999999999,-0.0,-0.0,0.1075839999999999,0.1579999999999999,0.0176719999999999
217,-0.0,-0.0,-0.0,0.0720959999999999,-0.0,0.0663759999999999,-0.0,-0.0,0.015344
218,0.0867199999999999,0.04712,-0.0,0.084648,-0.0,-0.0,0.02516,0.046688,0.0267919999999999
219,-0.0,0.1138639999999999,-0.0,-0.0,-0.0,0.0420799999999998,0.0381599999999999,0.0743439999999999,-0.0
220,0.0785519999999999,0.0227919999999999,-0.0,-0.0,0.0794639999999999,0.0239519999999999,-0.0,0.061368,-0.0
221,0.0403839999999999,0.1109279999999999,0.1359840000000001,-0.0,0.0269759999999998,-0.0,0.0047999999999999,0.0122079999999999,0.0176480000000001
222,-0.0,0.2237039999999999,-0.0,0.0480640000000001,-0.0,-0.0,-0.0,-0.0,-0.0
223,-0.0,-0.0,-0.0,-0.0,0.0659199999999999,0.0279279999999999,0.104888,-0.0,-0.0
224,-0.0,-0.0,-0.0,-0.0,0.162776,0.066856,0.0360720000000001,-0.0,0.014944
225,0.105456,-0.0,-0.0,-0.0,-0.0,-0.0,0.0372079999999999,-0.0,0.020048
226,0.1258559999999999,-0.0,-0.0,0.133224,-0.0,0.061728,0.0773839999999999,0.049304,-0.0
227,0.031792,-0.0,-0.0,0.2110959999999999,0.1153519999999999,0.0065999999999999,0.068696,-0.0,-0.0
228,-0.0,0.0969599999999999,-0.0,0.145488,0.1027519999999999,0.0743679999999999,-0.0,0.01184,-0.0
229,-0.0,-0.0,0.091944,-0.0,-0.0,-0.0,-0.0,0.0296879999999999,-0.0
230,-0.0,-0.0,-0.0,-0.0,0.1195520000000001,0.0624880000000001,-0.0,0.0305359999999998,-0.0
231,-0.0,0.153432,0.1094079999999999,-0.0,-0.0,-0.0,-0.0,0.0873599999999998,0.0436639999999999
232,0.0603599999999999,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
233,-0.0,-0.0,-0.0,0.035616,0.1176319999999999,0.047288,0.08152,-0.0,-0.0
234,0.0430319999999999,-0.0,0.03868,-0.0,0.1477919999999999,-0.0,-0.0,-0.0,0.011792
235,-0.0,0.026496,0.14188,-0.0,-0.0,0.0628239999999999,-0.0,0.0802879999999999,-0.0
236,-0.0,0.048272,-0.0,0.102408,-0.0,-0.0,-0.0,0.0112879999999999,0.0114959999999999
237,0.2191119999999999,0.05136,0.0718319999999999,-0.0,0.078408,-0.0,-0.0,0.017816,-0.0
238,-0.0,-0.0,-0.0,-0.0,-0.0,0.1738159999999999,0.0443679999999999,-0.0,0.0720400000000001
239,0.2625600000000001,0.005568,0.147696,-0.0,0.053112,-0.0,0.0036560000000001,-0.0,-0.0
240,-0.0,-0.0,-0.0,-0.0,0.021344,0.108608,-0.0,0.0620959999999999,0.019104
241,-0.0,0.0363279999999999,0.032216,-0.0,-0.0,0.0474000000000001,0.1511359999999999,0.08956,-0.0
242,-0.0,-0.0,-0.0,0.062608,-0.0,-0.0,0.01492,-0.0,0.0609679999999999
243,-0.0,-0.0,-0.0,-0.0,0.109992,0.1544000000000001,-0.0,0.0889999999999999,-0.0
244,-0.0,0.0452319999999999,0.01756,-0.0,0.0212879999999999,-0.0,0.1035759999999998,0.0209919999999999,-0.0
245,-0.0,0.0332159999999999,0.043568,-0.0,-0.0,-0.0,-0.0,0.0463679999999999,0.014736
246,-0.0,0.01584,-0.0,0.083952,0.191672,-0.0,0.0203999999999999,-0.0,0.000968
247,0.1185519999999999,-0.0,0.056456,-0.0,-0.0,-0.0,-0.0,0.077928,-0.0
248,0.2059439999999999,0.0210079999999999,-0.0,0.047808,-0.0,0.1959279999999998,0.010464,-0.0,0.0397119999999999
249,0.2874639999999999,0.0627919999999999,-0.0,-0.0,0.01696,-0.0,0.0932239999999999,0.024456,-0.0
250,-0.0,-0.0,0.1297760000000001,0.16724,0.023352,0.1626879999999999,-0.0,-0.0,0.0747999999999999
251,-0.0,-0.0,-0.0,-0.0,0.2139040000000001,-0.0,0.078904,0.1709119999999999,-0.0
252,-0.0,-0.0,0.0441599999999999,0.0236400000000001,0.05048,0.1068880000000001,0.0354080000000001,0.081792,0.046008
253,-0.0,0.0168639999999999,0.0070559999999999,-0.0,0.1703840000000001,0.049744,-0.0,-0.0,-0.0
254,-0.0,-0.0,0.10324,-0.0,-0.0,0.0367919999999999,0.0629839999999999,-0.0,0.0037199999999999
255,0.182096,-0.0,0.0028559999999999,-0.0,-0.0,-0.0,-0.0,0.061088,0.0519279999999999
256,-0.0,-0.0,-0.0,-0.0,-0.0,0.0855999999999999,-0.0,-0.0,-0.0
257,-0.0,-0.0,0.1590560000000001,-0.0,-0.0,-0.0,0.023176,0.0334080000000001,0.0474000000000001
258,0.142832,-0.0,-0.0,0.0536559999999999,-0.0,-0.0,0.0716719999999999,-0.0,0.0079359999999999
259,0.0896559999999999,0.1339999999999999,-0.0,-0.0,0.017624,0.1613519999999999,0.14724,0.2672799999999999,-0.0
260,-0.0,-0.0,-0.0,-0.0,0.004272,-0.0,-0.0,-0.0,-0.0
261,0.0485120000000001,-0.0,0.0021759999999999,0.1812640000000001,0.122112,-0.0,0.0156959999999999,-0.0,0.0345759999999999
262,-0.0,-0.0,-0.0,-0.0,0.0767039999999998,0.011368,0.0199199999999999,-0.0,-0.0
263,0.0461359999999999,-0.0,-0.0,0.00564,-0.0,-0.0,-0.0,-0.0,0.0236879999999999
264,-0.0,-0.0,-0.0,-0.0,-0.0,0.00536,0.171224,-0.0,-0.0
265,-0.0,-0.0,0.1335519999999999,-0.0,0.014456,-0.0,-0.0,-0.0,-0.0
266,-0.0,0.0139439999999999,0.027128,-0.0,-0.0,0.085072,-0.0,-0.0,0.0400720000000001
