process_id,degradation_level,rank_last,rank_best_train,rank_best_test,not_first_prob
PPO_Ant_seed1,0.021798923766816126,3,2,1,0.05074445475345835
PPO_Ant_seed1,0.021701607142857127,2,3,1,0.10908613021053655
PPO_Ant_seed1,0.02160515555555554,2,3,1,0.0790276293683492
PPO_Ant_seed1,0.021509557522123877,2,3,1,0.12432475953687844
PPO_Ant_seed1,0.02221698678414095,2,3,1,0.09352769729891505
PPO_Ant_seed1,0.022119543859649104,2,3,1,0.11114621337338218
PPO_Ant_seed1,0.022022951965065485,3,2,1,0.07565679161960279
PPO_Ant_seed1,0.022548208695652158,3,2,1,0.057722376675005224
PPO_Ant_seed1,0.022838718614718596,2,3,1,0.09303710372700293
PPO_Ant_seed1,0.022740275862068948,2,3,1,0.08414495167066399
PPO_Ant_seed1,0.02285088412017166,3,2,1,0.21999944171542096
PPO_Ant_seed1,0.022753230769230755,2,3,1,0.37571765182002015
PPO_Ant_seed1,0.0228527319148936,2,3,1,0.5385655421225892
PPO_Ant_seed1,0.02275589830508473,1,3,2,0.6116212633542331
PPO_Ant_seed1,0.022659881856540068,1,3,2,0.0
PPO_Ant_seed1,0.022564672268907546,1,3,2,0.0
PPO_Ant_seed1,0.022470259414225927,1,2,3,0.5
PPO_Ant_seed1,0.022741099999999983,1,2,3,0.0
PPO_Ant_seed1,0.022950838174273843,1,2,3,0.0
PPO_Ant_seed1,0.022855999999999984,1,2,3,0.0
PPO_Ant_seed1,0.02276194238683126,1,2,3,0.5
PPO_Ant_seed1,0.02304062295081966,1,2,3,0.5
PPO_Ant_seed1,0.02294657959183672,1,2,3,0.5
PPO_Ant_seed1,0.022853300813008116,1,2,3,0.5
PPO_Ant_seed1,0.02276077732793521,2,1,3,0.0
PPO_Ant_seed1,0.022668999999999984,1,2,3,0.0
PPO_Ant_seed1,0.022577959839357415,1,3,2,0.0
PPO_Ant_seed1,0.022487647999999985,1,3,2,0.0
PPO_Ant_seed1,0.022398055776892415,2,3,1,0.0
PPO_Ant_seed1,0.022309174603174588,2,3,1,0.32029627617583944
PPO_Ant_seed1,0.022220996047430816,1,3,2,0.652166280026084
PPO_Ant_seed1,0.022133511811023607,2,3,1,0.5968263819076604
PPO_Ant_seed1,0.02204671372549018,1,2,3,0.3985729351552255
PPO_Ant_seed1,0.021960593749999986,1,2,3,0.054095835335916394
PPO_Ant_seed1,0.02187514396887158,1,2,3,0.5
PPO_Ant_seed1,0.021790356589147273,1,2,3,0.5
PPO_Ant_seed1,0.021706223938223926,3,1,2,0.5
PPO_Ant_seed1,0.022438923076923065,3,1,2,0.5
PPO_Ant_seed1,0.02235295019157087,3,1,2,0.0
PPO_Ant_seed1,0.022287022900763346,3,1,2,0.0
PPO_Ant_seed1,0.02231105703422052,3,1,2,0.0
PPO_Ant_seed1,0.02284733333333332,3,1,2,0.0
PPO_Ant_seed1,0.022761116981132062,3,1,2,0.0
PPO_Ant_seed1,0.02267554887218044,3,1,2,0.0
PPO_Ant_seed1,0.02259062172284643,3,1,2,0.0
PPO_Ant_seed1,0.022506328358208944,2,1,3,0.0
PPO_Ant_seed1,0.023003330855018576,3,1,2,0.0
PPO_Ant_seed1,0.023996444444444428,3,1,2,0.0
PPO_Ant_seed1,0.023907896678966773,3,1,2,0.0
PPO_Ant_seed1,0.023819999999999984,3,1,2,0.0
PPO_Ant_seed1,0.024507721611721597,3,1,2,0.0
PPO_Ant_seed1,0.024571124087591226,3,1,2,0.0
PPO_Ant_seed1,0.02448177454545453,3,1,2,0.0
PPO_Ant_seed1,0.0243930724637681,2,1,3,0.0
PPO_Ant_seed2,,1,2,3,1.0
PPO_Ant_seed2,0.0,3,1,2,0.5
PPO_Ant_seed2,0.008884,3,1,2,0.0
PPO_Ant_seed2,0.005922666666666666,2,1,3,0.0
PPO_Ant_seed2,0.004442,1,2,3,0.5
PPO_Ant_seed2,0.013950400000000002,3,1,2,0.0
