process_id,degradation_level,rank_100,rank_50,rank_500,rank_25,rank_250,not_first_prob
PPO_Ant_seed1,0.015751323943661952,1,2,3,4,5,1.0
PPO_Ant_seed1,0.01596166666666665,2,1,3,4,5,0.38028117107145704
PPO_Ant_seed1,0.01574301369863012,1,4,2,5,3,0.5
PPO_Ant_seed1,0.015530270270270253,1,4,2,5,3,0.0
PPO_Ant_seed1,0.015323199999999983,1,2,3,4,5,1.0
PPO_Ant_seed1,0.015121578947368404,1,2,3,5,4,0.75
PPO_Ant_seed1,0.014925194805194789,1,2,3,4,5,1.0
PPO_Ant_seed1,0.014733846153846137,1,2,3,4,5,1.0
PPO_Ant_seed1,0.01514774683544302,2,1,3,4,5,0.3554451889596424
PPO_Ant_seed1,0.014958399999999983,3,2,1,4,5,0.0
PPO_Ant_seed1,0.01477372839506171,4,1,2,5,3,0.5
PPO_Ant_seed1,0.014593560975609739,5,1,2,3,4,0.75
PPO_Ant_seed1,0.014961831325301189,1,2,3,4,5,1.0
PPO_Ant_seed1,0.01478371428571427,2,3,4,1,5,0.5226120215368997
PPO_Ant_seed1,0.014688941176470575,2,5,3,1,4,0.8136176826302772
PPO_Ant_seed1,0.014518139534883706,3,5,1,2,4,0.0
PPO_Ant_seed1,0.014351264367816079,3,5,1,2,4,0.46143172679467276
PPO_Ant_seed1,0.014188181818181801,1,2,3,4,5,0.5
PPO_Ant_seed1,0.014028764044943805,2,1,3,5,4,0.0
PPO_Ant_seed1,0.013873955555555541,4,3,1,5,2,0.25
PPO_Ant_seed1,0.01372149450549449,4,3,2,5,1,0.0
PPO_Ant_seed1,0.014199652173913028,5,1,2,3,4,0.9808716613026126
PPO_Ant_seed1,0.015420043010752674,5,3,1,4,2,0.25
PPO_Ant_seed1,0.015255999999999987,5,3,2,4,1,0.0
PPO_Ant_seed1,0.015095410526315776,1,2,3,5,4,0.8960673208654386
PPO_Ant_seed1,0.015753749999999983,1,4,2,5,3,0.8914508221128312
PPO_Ant_seed1,0.01559134020618555,3,4,1,5,2,0.6517208717632063
PPO_Ant_seed1,0.015432244897959167,3,4,1,5,2,0.7498368505296356
PPO_Ant_seed1,0.01527636363636362,3,4,1,5,2,0.11945731582053044
PPO_Ant_seed1,0.015239839999999984,1,5,2,3,4,0.75
PPO_Ant_seed1,0.01508895049504949,3,4,5,1,2,0.25
PPO_Ant_seed1,0.015454666666666651,4,5,3,1,2,0.25
PPO_Ant_seed1,0.015547029126213578,4,5,3,1,2,0.25
PPO_Ant_seed1,0.015397538461538445,5,1,2,4,3,0.5
PPO_Ant_seed1,0.015250895238095223,1,2,3,4,5,1.0
PPO_Ant_seed1,0.015107018867924513,1,2,3,5,4,0.75
PPO_Ant_seed1,0.014965831775700919,1,2,3,5,4,0.25
PPO_Ant_seed1,0.015538592592592578,1,2,3,5,4,0.25
PPO_Ant_seed1,0.01539603669724769,3,4,1,5,2,0.25
PPO_Ant_seed1,0.015256072727272712,2,3,5,4,1,0.0
PPO_Ant_seed1,0.015157909909909895,2,3,5,4,1,0.0
PPO_Ant_seed1,0.01633071428571427,2,3,5,4,1,0.0
PPO_Ant_seed1,0.01618619469026547,3,2,4,5,1,0.0
PPO_Ant_seed1,0.016044210526315775,1,2,3,4,5,1.0
PPO_Ant_seed1,0.015904695652173898,1,2,3,5,4,0.75
PPO_Ant_seed1,0.015767586206896535,1,2,3,5,4,0.25
PPO_Ant_seed1,0.0158282393162393,1,2,3,5,4,0.25
PPO_Ant_seed1,0.01569410169491524,1,2,3,5,4,0.25
PPO_Ant_seed1,0.015562218487394943,1,2,4,5,3,0.25
PPO_Ant_seed1,0.01613086666666665,1,2,3,4,5,1.0
PPO_Ant_seed1,0.01599755371900825,1,2,5,3,4,0.9287497980350005
PPO_Ant_seed1,0.015866426229508183,2,3,1,4,5,0.8895000337667356
PPO_Ant_seed1,0.015839804878048765,1,2,5,3,4,0.9133367050422514
PPO_Ant_seed1,0.016134645161290304,1,2,5,3,4,0.9133367050422514
PPO_Ant_seed1,0.01606815999999998,1,2,5,3,4,0.9133367050422514
PPO_Ant_seed1,0.015971428571428553,1,2,5,3,4,0.9133367050422514
PPO_Ant_seed1,0.015845669291338564,1,2,5,3,4,0.9133367050422514
PPO_Ant_seed1,0.015721874999999986,1,2,5,3,4,0.9133367050422514
PPO_Ant_seed1,0.015599999999999985,1,2,5,3,4,0.9133367050422514
PPO_Ant_seed1,0.015479999999999987,1,2,5,3,4,0.9133367050422514
PPO_Ant_seed1,0.015414229007633572,1,2,5,3,4,0.02453868868706402
PPO_Ant_seed1,0.015735515151515136,1,3,5,4,2,0.04317438084452706
PPO_Ant_seed1,0.015901233082706752,1,3,5,4,2,0.04780082987803651
PPO_Ant_seed1,0.016348238805970135,1,3,5,4,2,0.02938331699080997
PPO_Ant_seed1,0.016227140740740727,1,2,3,5,4,0.7889495230846032
